pmid	full_title	journal	pub_count	date	tweet_title	status_hash	posted	score
36258173	Cov2clusters: genomic clustering of SARS-CoV-2 sequences.	BMC genomics	51	2022 Oct 19	Cov2clusters: genomic clustering of SARS-CoV-2 sequences.	cov2clustersgenomicclusteringofsarscov2sequences		200
36216891	Pneumococcal within-host diversity during colonization, transmission and treatment.	Nature microbiology	94	2022 Oct 10	Pneumococcal within-host diversity during colonization, transmission and treatment.	pneumococcalwithinhostdiversityduringcolonizationtransmissionandtreatment		200
36154183	Phage-Plasmids Spread Antibiotic Resistance Genes through Infection and Lysogenic Conversion.	mBio	87	2022 Sep 26	Phage-Plasmids Spread Antibiotic Resistance Genes through Infection and Lysogenic Conversion.	phageplasmidsspreadantibioticresistancegenesthroughinfectionandlysogenicconversion		200
36108049	The evolving SARS-CoV-2 epidemic in Africa: Insights from rapidly expanding genomic surveillance.	Science (New York, N.Y.)	59	2022 Oct 7	The evolving SARS-CoV-2 epidemic in Africa: Insights from rapidly expanding genomic surveillance.	theevolvingsarscov2epidemicinafricainsightsfromrapidlyexpandinggenomicsurveillance		200
36352488	Prevalence of foodborne and zoonotic viral pathogens in raw cow milk samples.	FEMS microbiology letters	8	2022 Nov 9	Prevalence of foodborne and zoonotic viral pathogens in raw cow milk samples.	prevalenceoffoodborneandzoonoticviralpathogensinrawcowmilksles		200
36298741	Genetic Reassortment between Endemic and Introduced Macrobrachium rosenbergii Nodaviruses in the Murray-Darling Basin, Australia.	Viruses	51	2022 Oct 4	Genetic Reassortment between Endemic and Introduced Macrobrachium rosenbergii Nodaviruses in the Murray-Darling Basin, Australia.	geneticreassortmentbetweenendemicandintroducedmacrobrachiumrosenbergiinodavirusesinthemurraydarlingbasinaustralia		200
36253480	Anaerobic oxidation of propane coupled to nitrate reduction by a lineage within the class Symbiobacteriia.	Nature communications	147	2022 Oct 17	Anaerobic oxidation of propane coupled to nitrate reduction by a lineage within the class Symbiobacteriia.	anaerobicoxidationofpropanecoupledtonitratereductionbyalineagewithintheclasssymbiobacteriia		200
36251704	Spatial-temporal and phylogenetic analyses of epidemiologic data to help understand the modes of transmission of endemic typhoid fever in Samoa.	PLoS neglected tropical diseases	71	2022 Oct 17	Spatial-temporal and phylogenetic analyses of epidemiologic data to help understand the modes of transmission of endemic typhoid fever in Samoa.	spatialtemporalandphylogeneticanalysesofepidemiologicdatatohelpunderstandthemodesoftransmissionofendemictyphoidfeverinsamoa		200
36215506	Pandemic origins and a One Health approach to preparedness and prevention: Solutions based on SARS-CoV-2 and other RNA viruses.	Proceedings of the National Academy of Sciences of the United States of America	62	2022 Oct 10	Pandemic origins and a One Health approach to preparedness and prevention: Solutions based on SARS-CoV-2 and other RNA viruses.	pandemicoriginsandaonehealthapproachtopreparednessandpreventionsolutionsbasedonsarscov2andotherrnaviruses		200
36214584	Development and Evaluation of a Core Genome Multilocus Sequencing Typing (cgMLST) Scheme for Serratia marcescens Molecular Surveillance and Outbreak Investigations.	Journal of clinical microbiology	137	2022 Oct 10	Development and Evaluation of a Core Genome Multilocus Sequencing Typing (cgMLST) Scheme for Serratia marcescens Molecular Surveillance and Outbreak Investigations.	developmentandevaluationofacoregenomemultilocussequencingtypingcgmlstschemeforserratiamarcescensmolecularsurveillanceandoutbreakinvestigations		200
36212864	Analysis of pit latrine microbiota reveals depth-related variation in composition, and key parameters and taxa associated with latrine fill-up rate.	Frontiers in microbiology	122	2022 Sep 23	Analysis of pit latrine microbiota reveals depth-related variation in composition, and key parameters and taxa associated with latrine fill-up rate.	analysisofpitlatrinemicrobiotarevealsdepthrelatedvariationincompositionandkeyparametersandtaxaassociatedwithlatrinefilluprate		200
36201560	Antibiofilm agents with therapeutic potential against enteroaggregative Escherichia coli.	PLoS neglected tropical diseases	71	2022 Oct 6	Antibiofilm agents with therapeutic potential against enteroaggregative Escherichia coli.	antibiofilmagentswiththerapeuticpotentialagainstenteroaggregativeescherichiacoli		200
36129877	The regulon of Brucella abortus two-component system BvrR/BvrS reveals the coordination of metabolic pathways required for intracellular life.	PloS one	147	2022 Sep 21	The regulon of Brucella abortus two-component system BvrR/BvrS reveals the coordination of metabolic pathways required for intracellular life.	theregulonofbrucellaabortustwocomponentsystembvrrbvrsrevealsthecoordinationofmetabolicpathwaysrequiredforintracellularlife		200
36123442	SeqCode: a nomenclatural code for prokaryotes described from sequence data.	Nature microbiology	94	2022 Sep 19	SeqCode: a nomenclatural code for prokaryotes described from sequence data.	seqcodeanomenclaturalcodeforprokaryotesdescribedfromsequencedata		200
36325034	SPREAD 4: online visualisation of pathogen phylogeographic reconstructions.	Virus evolution	32	2022 Sep 26	SPREAD 4: online visualisation of pathogen phylogeographic reconstructions.	spread4onlinevisualisationofpathogenphylogeographicreconstructions		100
36320615	Meta-transcriptomics reveals potential virus transfer between Aedes communis mosquitoes and their parasitic water mites.	Virus evolution	32	2022 Sep 24	Meta-transcriptomics reveals potential virus transfer between Aedes communis mosquitoes and their parasitic water mites.	metatranscriptomicsrevealspotentialvirustransferbetweenaedescommunismosquitoesandtheirparasiticwatermites		100
36301156	Estimating Global Biodiversity: the Role of Cryptic Insect Species.	Systematic biology	26	2022 Oct 27	Estimating Global Biodiversity: the Role of Cryptic Insect Species.	estimatingglobalbiodiversitytheroleofcrypticinsectspecies		100
36299763	Repeat infections with chlamydia in women may be more transcriptionally active with lower responses from some immune genes.	Frontiers in public health	10	2022 Oct 10	Repeat infections with chlamydia in women may be more transcriptionally active with lower responses from some immune genes.	repeatinfectionswithchlamydiainwomenmaybemoretranscriptionallyactivewithlowerresponsesfromsomeimmunegenes		100
36286527	Large-Scale Evaluation of a Rapid Fully Automated Analysis Platform to Detect and Refute Outbreaks Based on MRSA Genome Comparisons.	mSphere	25	2022 Oct 26	Large-Scale Evaluation of a Rapid Fully Automated Analysis Platform to Detect and Refute Outbreaks Based on MRSA Genome Comparisons.	largescaleevaluationofarapidfullyautomatedanalysisplatformtodetectandrefuteoutbreaksbasedonmrsagenomecomparisons		100
36280853	Crop management shapes the diversity and activity of DNA and RNA viruses in the rhizosphere.	Microbiome	25	2022 Oct 24	Crop management shapes the diversity and activity of DNA and RNA viruses in the rhizosphere.	cropmanagementshapesthediversityandactivityofdnaandrnavirusesintherhizosphere		100
36243352	Maternal colonisation and early-onset neonatal bacterial sepsis in The Gambia, West Africa: a genomic analysis of vertical transmission.	Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases	21	2022 Oct 12	Maternal colonisation and early-onset neonatal bacterial sepsis in The Gambia, West Africa: a genomic analysis of vertical transmission.	maternalcolonisationandearlyonsetneonatalbacterialsepsisinthegambiawestafricaagenomicanalysisofverticaltransmission		100
36206793	Antibiotic review kit for hospitals (ARK-Hospital): a stepped-wedge cluster-randomised controlled trial.	The Lancet. Infectious diseases	39	2022 Oct 4	Antibiotic review kit for hospitals (ARK-Hospital): a stepped-wedge cluster-randomised controlled trial.	antibioticreviewkitforhospitalsarkhospitalasteppedwedgeclusterrandomisedcontrolledtrial		100
36206776	Genomic characterisation of multidrug-resistant Escherichia coli, Klebsiella pneumoniae, and Acinetobacter baumannii in two intensive care units in Hanoi, Viet Nam: a prospective observational cohort study.	The Lancet. Microbe	28	2022 Oct 4	Genomic characterisation of multidrug-resistant Escherichia coli, Klebsiella pneumoniae, and Acinetobacter baumannii in two intensive care units in Hanoi, Viet Nam: a prospective observational cohort study.	genomiccharacterisationofmultidrugresistantescherichiacoliklebsiellapneumoniaeandacinetobacterbaumanniiintwointensivecareunitsinhanoivietnamaprospectiveobservationalcohortstudy		100
36199015	Development and validation of a CRISPR interference system for gene regulation in Campylobacter jejuni.	BMC microbiology	24	2022 Oct 5	Development and validation of a CRISPR interference system for gene regulation in Campylobacter jejuni.	developmentandvalidationofacrisprinterferencesystemforgeneregulationincylobacterjejuni		100
36154665	Intra- and Interspecies Spread of a Novel Conjugative Multidrug Resistance IncC Plasmid Coharboring blaOXA-181 and armA in a Cystic Fibrosis Patient.	Microbiology spectrum	18	2022 Sep 26	Intra- and Interspecies Spread of a Novel Conjugative Multidrug Resistance IncC Plasmid Coharboring blaOXA-181 and armA in a Cystic Fibrosis Patient.	intraandinterspeciesspreadofanovelconjugativemultidrugresistanceinccplasmidcoharboringblaoxa181andarmainacysticfibrosispatient		100
36150229	Faecal virome of the Australian grey-headed flying fox from urban/suburban environments contains novel coronaviruses, retroviruses and sapoviruses.	Virology	12	2022 Sep 19	Faecal virome of the Australian grey-headed flying fox from urban/suburban environments contains novel coronaviruses, retroviruses and sapoviruses.	faecalviromeoftheaustraliangreyheadedflyingfoxfromurbansuburbanenvironmentscontainsnovelcoronavirusesretrovirusesandsapoviruses		100
36121169	Dynamics of the Gut Microbiome in Shigella-Infected Children during the First Two Years of Life.	mSystems	27	2022 Sep 19	Dynamics of the Gut Microbiome in Shigella-Infected Children during the First Two Years of Life.	dynamicsofthegutmicrobiomeinshigellainfectedchildrenduringthefirsttwoyearsoflife		100
					New rules for genomics-informed COVID-19 responses-Lessons learned from the first waves of the Omicron variant in Australia.	newrulesforgenomicsinformedcovid19responseslessonslearnedfromthefirstwavesoftheomicronvariantinaustralia	True	0
					GyrB in silico mining in 27151 global gonococcal genomes from 1928-2021 combined with zoliflodacin in vitro testing of 71 international gonococcal isolates with different GyrB, ParC and ParE substitutions confirms high susceptibility.	gyrbinsilicominingin27151globalgonococcalgenomesfrom19282021combinedwithzoliflodacininvitrotestingof71internationalgonococcalisolateswithdifferentgyrbparcandparesubstitutionsconfirmshighsusceptibility	True	0
					Structural and Genomic Evolution of RRNPPA Systems and Their Pheromone Signaling.	structuralandgenomicevolutionofrrnppasystemsandtheirpheromonesignaling	True	0
					Impact of host age on viral and bacterial communities in a waterbird population.	impactofhostageonviralandbacterialcommunitiesinawaterbirdpopulation	True	0
					MIDAS2: Metagenomic Intra-species Diversity Analysis System.	midas2metagenomicintraspeciesdiversityanalysissystem	True	0
					Genome-wide association studies identify an association of transferrin binding protein B variation and invasive serogroup Y meningococcal disease in older adults.	genomewideassociationstudiesidentifyanassociationoftransferrinbindingproteinbvariationandinvasiveserogroupymeningococcaldiseaseinolderadults	True	0
					kmdiff, large-scale and user-friendly differential k-mer analyses.	kmdifflargescaleanduserfriendlydifferentialkmeranalyses	True	0
					Prevalence and risk factors of bacterial enteric pathogens in men who have sex with men: a cross-sectional study at the UK's largest sexual health service.	prevalenceandriskfactorsofbacterialentericpathogensinmenwhohavesexwithmenacrosssectionalstudyattheukslargestsexualhealthservice	True	0
					CARD 2023: expanded curation, support for machine learning,and resistome prediction at the Comprehensive Antibiotic Resistance Database.	card2023expandedcurationsupportformachinelearningandresistomepredictionatthecomprehensiveantibioticresistancedatabase	True	0
					COVID-19 cluster size and transmission rates in schools from crowdsourced case reports.	covid19clustersizeandtransmissionratesinschoolsfromcrowdsourcedcasereports	True	0
					Phylodynamic signatures in the emergence of community-associated MRSA.	phylodynamicsignaturesintheemergenceofcommunityassociatedmrsa	True	0
					Swiss public health measures associated with reduced SARS-CoV-2 transmission using genome data.	swisspublichealthmeasuresassociatedwithreducedsarscov2transmissionusinggenomedata	True	0
					The Anglo-Saxon migration and the formation of the early English gene pool.	theanglosaxonmigrationandtheformationoftheearlyenglishgenepool	True	0
					Genomic population structure associated with repeated escape of Salmonella enterica ATCC14028s from the laboratory into nature.	genomicpopulationstructureassociatedwithrepeatedescapeofsalmonellaentericaatcc14028sfromthelaboratoryintonature	True	0
					Quantifying bacterial evolution in the wild: A birthday problem for Campylobacter lineages.	quantifyingbacterialevolutioninthewildabirthdayproblemforcylobacterlineages	True	0
					Emergence of an early SARS-CoV-2 epidemic in the United States.	emergenceofanearlysarscov2epidemicintheunitedstates	True	0
					Multiple introductions of multidrug-resistant typhoid associated with acute infection and asymptomatic carriage, Kenya.	multipleintroductionsofmultidrugresistanttyphoidassociatedwithacuteinfectionandasymptomaticcarriagekenya	True	0
					Pandora: nucleotide-resolution bacterial pan-genomics with reference graphs.	pandoranucleotideresolutionbacterialpangenomicswithreferencegraphs	True	0
					Resurgence of Ebola virus in 2021 in Guinea suggests a new paradigm for outbreaks.	resurgenceofebolavirusin2021inguineasuggestsanewparadigmforoutbreaks	True	0
					Trycycler: consensus long-read assemblies for bacterial genomes.	trycyclerconsensuslongreadassembliesforbacterialgenomes	True	0
					Generation and transmission of interlineage recombinants in the SARS-CoV-2 pandemic.	generationandtransmissionofinterlineagerecombinantsinthesarscov2pandemic	True	0
					The origins of SARS-CoV-2: A critical review.	theoriginsofsarscov2acriticalreview	True	0
					Canine brucellosis in Costa Rica reveals widespread Brucella canis infection and the recent introduction of foreign strains.	caninebrucellosisincostaricarevealswidespreadbrucellacanisinfectionandtherecentintroductionofforeignstrains	True	0
					Evaluation of the Microba Community Profiler for Taxonomic Profiling of Metagenomic Datasets From the Human Gut Microbiome.	evaluationofthemicrobacommunityprofilerfortaxonomicprofilingofmetagenomicdatasetsfromthehumangutmicrobiome	True	0
					The Great Deceiver: miR-2392's Hidden Role in Driving SARS-CoV-2 Infection.	thegreatdeceivermir2392shiddenroleindrivingsarscov2infection	True	0
					Stereoselective Bacterial Metabolism of Antibiotics in Environmental Bacteria - A Novel Biochemical Workflow.	stereoselectivebacterialmetabolismofantibioticsinenvironmentalbacteriaanovelbiochemicalworkflow	True	0
					Field and classroom initiatives for portable sequence-based monitoring of dengue virus in Brazil.	fieldandclassroominitiativesforportablesequencebasedmonitoringofdenguevirusinbrazil	True	0
					Comparative Phosphoproteomics of Classical Bordetellae Elucidates the Potential Role of Serine, Threonine and Tyrosine Phosphorylation in Bordetella Biology and Virulence.	comparativephosphoproteomicsofclassicalbordetellaeelucidatesthepotentialroleofserinethreonineandtyrosinephosphorylationinbordetellabiologyandvirulence	True	0
					Long-read-sequenced reference genomes of the seven major lineages of enterotoxigenic Escherichia coli (ETEC) circulating in modern time.	longreadsequencedreferencegenomesofthesevenmajorlineagesofenterotoxigenicescherichiacolieteccirculatinginmoderntime	True	0
					Best practices on the differential expression analysis of multi-species RNA-seq.	bestpracticesonthedifferentialexpressionanalysisofmultispeciesrnaseq	True	0
					Next-generation microbiology: from comparative genomics to gene function.	nextgenerationmicrobiologyfromcomparativegenomicstogenefunction	True	0
					Silent spread of mobile colistin resistance gene mcr-9.1 on IncHI2 'superplasmids' in clinical carbapenem-resistant Enterobacterales.	silentspreadofmobilecolistinresistancegenemcr91oninchi2superplasmidsinclinicalcarbapenemresistantenterobacterales	True	0
					Validation testing to determine the sensitivity of lateral flow testing for asymptomatic SARS-CoV-2 detection in low prevalence settings: Testing frequency and public health messaging is key.	validationtestingtodeterminethesensitivityoflateralflowtestingforasymptomaticsarscov2detectioninlowprevalencesettingstestingfrequencyandpublichealthmessagingiskey	True	0
					Limited and Strain-Specific Transcriptional and Growth Responses to Acquisition of a Multidrug Resistance Plasmid in Genetically Diverse Escherichia coli Lineages.	limitedandstrainspecifictranscriptionalandgrowthresponsestoacquisitionofamultidrugresistanceplasmidingeneticallydiverseescherichiacolilineages	True	0
					Accessory Genome Dynamics and Structural Variation of Shigella from Persistent Infections.	accessorygenomedynamicsandstructuralvariationofshigellafrompersistentinfections	True	0
					Outbreak of Shiga toxin-producing Escherichia coli O157 linked with consumption of a fast-food product containing imported cucumbers, United Kingdom, August 2020.	outbreakofshigatoxinproducingescherichiacolio157linkedwithconsumptionofafastfoodproductcontainingimportedcucumbersunitedkingdomaugust2020	True	0
					Ecological niche adaptation of Salmonella Typhimurium U288 is associated with altered pathogenicity and reduced zoonotic potential.	ecologicalnicheadaptationofsalmonellatyphimuriumu288isassociatedwithalteredpathogenicityandreducedzoonoticpotential	True	0
					Global prevalence and phylogeny of hepatitis B virus (HBV) drug and vaccine resistance mutations.	globalprevalenceandphylogenyofhepatitisbvirushbvdrugandvaccineresistancemutations	True	0
					The impact of genomics on precision public health: beyond the pandemic.	theimpactofgenomicsonprecisionpublichealthbeyondthepandemic	True	0
					A community-driven resource for genomic epidemiology and antimicrobial resistance prediction of Neisseria gonorrhoeae at Pathogenwatch.	acommunitydrivenresourceforgenomicepidemiologyandantimicrobialresistancepredictionofneisseriagonorrhoeaeatpathogenwatch	True	0
					How accurately can we assess zoonotic risk?	howaccuratelycanweassesszoonoticrisk	True	0
					Detection and Genome Sequencing of SARS-CoV-2 in a Domestic Cat with Respiratory Signs in Switzerland.	detectionandgenomesequencingofsarscov2inadomesticcatwithrespiratorysignsinswitzerland	True	0
					Extensive microbial diversity within the chicken gut microbiome revealed by metagenomics and culture.	extensivemicrobialdiversitywithinthechickengutmicrobiomerevealedbymetagenomicsandculture	True	0
					Genetic diversity and evolutionary dynamics of respiratory syncytial virus over eleven consecutive years of surveillance in Senegal.	geneticdiversityandevolutionarydynamicsofrespiratorysyncytialvirusoverelevenconsecutiveyearsofsurveillanceinsenegal	True	0
					Epidemiological investigation of recurrent outbreaks of haemolytic uraemic syndrome caused by Shiga toxin-producing Escherichia coli serotype O55:H7 in England, 2014-2018.	epidemiologicalinvestigationofrecurrentoutbreaksofhaemolyticuraemicsyndromecausedbyshigatoxinproducingescherichiacoliserotypeo55h7inengland20142018	True	0
					Development and Content Validation of the Safe Surgery Organizational Readiness Tool: A Quality Improvement Study.	developmentandcontentvalidationofthesafesurgeryorganizationalreadinesstoolaqualityimprovementstudy	True	0
					Genomic epidemiology of group B streptococci spanning 10 years in an Irish Maternity Hospital, 2008-2017.	genomicepidemiologyofgroupbstreptococcispanning10yearsinanirishmaternityhospital20082017	True	0
					Genomics and epidemiology of the P.1 SARS-CoV-2 lineage in Manaus, Brazil.	genomicsandepidemiologyofthep1sarscov2lineageinmanausbrazil	True	0
					Population genomics and antimicrobial resistance dynamics of Escherichia coli in wastewater and river environments.	populationgenomicsandantimicrobialresistancedynamicsofescherichiacoliinwastewaterandriverenvironments	True	0
					Erratum: Causes and Consequences of Bacteriophage Diversification via Genetic Exchanges across Lifestyles and Bacterial Taxa.	erratumcausesandconsequencesofbacteriophagediversificationviageneticexchangesacrosslifestylesandbacterialtaxa	True	0
					First detection of porcine respirovirus 1 in Germany and the Netherlands.	firstdetectionofporcinerespirovirus1ingermanyandthenetherlands	True	0
					Evidence for early dispersal of domestic sheep into Central Asia.	evidenceforearlydispersalofdomesticsheepintocentralasia	True	0
					Publisher Correction: The impact of genetic diversity on gene essentiality within the Escherichia coli species.	publishercorrectiontheimpactofgeneticdiversityongeneessentialitywithintheescherichiacolispecies	True	0
					A whole genome-based gene-by-gene typing system for standardised high resolution strain typing of Bacillus anthracis.	awholegenomebasedgenebygenetypingsystemforstandardisedhighresolutionstraintypingofbacillusanthracis	True	0
					Isolation and Characterisation of Bacteriophages with Activity against Invasive Non-Typhoidal Salmonella Causing Bloodstream Infection in Malawi.	isolationandcharacterisationofbacteriophageswithactivityagainstinvasivenontyphoidalsalmonellacausingbloodstreaminfectioninmalawi	True	0
					Re-evaluation of a Neonatal Mouse Model of Infection With Enterotoxigenic Escherichia coli.	reevaluationofaneonatalmousemodelofinfectionwithenterotoxigenicescherichiacoli	True	0
					SARS-CoV-2 N501Y Introductions and Transmissions in Switzerland from Beginning of October 2020 to February 2021-Implementation of Swiss-Wide Diagnostic Screening and Whole Genome Sequencing.	sarscov2n501yintroductionsandtransmissionsinswitzerlandfrombeginningofoctober2020tofebruary2021implementationofswisswidediagnosticscreeningandwholegenomesequencing	True	0
					Effects of Clinical Wastewater on the Bacterial Community Structure from Sewage to the Environment.	effectsofclinicalwastewateronthebacterialcommunitystructurefromsewagetotheenvironment	True	0
					A Novel Rubi-Like Virus in the Pacific Electric Ray (Tetronarce californica) Reveals the Complex Evolutionary History of the Matonaviridae.	anovelrubilikevirusinthepacificelectricraytetronarcecalifornicarevealsthecomplexevolutionaryhistoryofthematonaviridae	True	0
					Evolution and genomic insight into methicillin-resistant Staphylococcus aureus ST9 in China.	evolutionandgenomicinsightintomethicillinresistantstaphylococcusaureusst9inchina	True	0
					Distinguishing bla KPC -gene-containing IncF plasmids from epidemiologically related and unrelated Enterobacteriaceae based on short- and long-read sequence data.	distinguishingblakpcgenecontainingincfplasmidsfromepidemiologicallyrelatedandunrelatedenterobacteriaceaebasedonshortandlongreadsequencedata	True	0
					Salmonella nomenclature in the genomic era: a time for change.	salmonellanomenclatureinthegenomiceraatimeforchange	True	0
					Author Correction: A genomic catalog of Earth's microbiomes.	authorcorrectionagenomiccatalogofearthsmicrobiomes	True	0
					Bacterial cyclic diguanylate signaling networks sense temperature.	bacterialcyclicdiguanylatesignalingnetworkssensetemperature	True	0
					Emergence and evolution of antimicrobial resistance genes and mutations in Neisseria gonorrhoeae.	emergenceandevolutionofantimicrobialresistancegenesandmutationsinneisseriagonorrhoeae	True	0
					The global dissemination of hospital clones of Enterococcus faecium.	theglobaldisseminationofhospitalclonesofenterococcusfaecium	True	0
					Diagnosis of SARS-CoV-2 infection with LamPORE, a high-throughput platform combining loop-mediated isothermal amplification and nanopore sequencing.	diagnosisofsarscov2infectionwithlamporeahighthroughputplatformcombiningloopmediatedisothermallificationandnanoporesequencing	True	0
					Emergence and impact of oprD mutations in Pseudomonas aeruginosa strains in cystic fibrosis.	emergenceandimpactofoprdmutationsinpseudomonasaeruginosastrainsincysticfibrosis	True	0
					Complete Genome Sequences of African Salmonella enterica Serovar Enteritidis Clinical Isolates Associated with Bloodstream Infection.	completegenomesequencesofafricansalmonellaentericaserovarenteritidisclinicalisolatesassociatedwithbloodstreaminfection	True	0
					Comparison of long read sequencing technologies in interrogating bacteria and fly genomes.	comparisonoflongreadsequencingtechnologiesininterrogatingbacteriaandflygenomes	True	0
					Speciation across the Tree of Life.	speciationacrossthetreeoflife	True	0
					Assessing transmissibility of SARS-CoV-2 lineage B.1.1.7 in England.	assessingtransmissibilityofsarscov2lineageb117inengland	True	0
					Phylogenetic context of Shiga toxin-producing Escherichia coli serotype O26:H11 in England.	phylogeneticcontextofshigatoxinproducingescherichiacoliserotypeo26h11inengland	True	0
					Author Correction: Genome evolution and the emergence of pathogenicity in avian Escherichia coli.	authorcorrectiongenomeevolutionandtheemergenceofpathogenicityinavianescherichiacoli	True	0
					Apparent nosocomial adaptation of Enterococcus faecalis predates the modern hospital era.	apparentnosocomialadaptationofenterococcusfaecalispredatesthemodernhospitalera	True	0
					Evolutionary histories and antimicrobial resistance in Shigella flexneri and Shigella sonnei in Southeast Asia.	evolutionaryhistoriesandantimicrobialresistanceinshigellaflexneriandshigellasonneiinsoutheastasia	True	0
					Importance of COVID-19 vaccine efficacy in older age groups.	importanceofcovid19vaccineefficacyinolderagegroups	True	0
					Do sexually selected weapons drive diversification?	dosexuallyselectedweaponsdrivediversification	True	0
					Development of Phylodynamic Methods for Bacterial Pathogens.	developmentofphylodynamicmethodsforbacterialpathogens	True	0
					Surveillance of SARS-CoV-2 in Zimbabwe shows dominance of variants of concern.	surveillanceofsarscov2inzimbabweshowsdominanceofvariantsofconcern	True	0
					Author Correction: The impact of genetic diversity on gene essentiality within the Escherichia coli species.	authorcorrectiontheimpactofgeneticdiversityongeneessentialitywithintheescherichiacolispecies	True	0
					Molecular diagnostic assays for the detection of common bacterial meningitis pathogens: A narrative review.	moleculardiagnosticassaysforthedetectionofcommonbacterialmeningitispathogensanarrativereview	True	0
					Transmission, adaptation and geographical spread of the Pseudomonas aeruginosa Liverpool epidemic strain.	transmissionadaptationandgeographicalspreadofthepseudomonasaeruginosaliverpoolepidemicstrain	True	0
					Phylogenetic structure of Shiga toxin-producing Escherichia coli O157:H7 from sub-lineage to SNPs.	phylogeneticstructureofshigatoxinproducingescherichiacolio157h7fromsublineagetosnps	True	0
					Prevalence and epidemiology of non-O157 Escherichia coli serogroups O26, O103, O111, O145 and Shiga toxin gene carriage in Scottish cattle, 2014-2015.	prevalenceandepidemiologyofnono157escherichiacoliserogroupso26o103o111o145andshigatoxingenecarriageinscottishcattle20142015	True	0
					BamA and BamD Are Essential for the Secretion of Trimeric Autotransporter Adhesins.	bamaandbamdareessentialforthesecretionoftrimericautotransporteradhesins	True	0
					Mapping Gene-by-Gene Single-Nucleotide Variation in 8,535 Mycobacterium tuberculosis Genomes: a Resource To Support Potential Vaccine and Drug Development.	mappinggenebygenesinglenucleotidevariationin8535mycobacteriumtuberculosisgenomesaresourcetosupportpotentialvaccineanddrugdevelopment	True	0
					ESBL-producing strains isolated from imported cases of enteric fever in England and Wales reveal multiple chromosomal integrations of blaCTX-M-15 in XDR Salmonella Typhi.	esblproducingstrainsisolatedfromimportedcasesofentericfeverinenglandandwalesrevealmultiplechromosomalintegrationsofblactxm15inxdrsalmonellatyphi	True	0
					Voices of biotech research.	voicesofbiotechresearch	True	0
					Genomics and epidemiology of a novel SARS-CoV-2 lineage in Manaus, Brazil.	genomicsandepidemiologyofanovelsarscov2lineageinmanausbrazil	True	0
					SARS-CoV-2 within-host diversity and transmission.	sarscov2withinhostdiversityandtransmission	True	0
					Direct Nanopore Sequencing of mRNA Reveals Landscape of Transcript Isoforms in Apicomplexan Parasites.	directnanoporesequencingofmrnarevealslandscapeoftranscriptisoformsinapicomplexanparasites	True	0
					Establishment and Application of Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry for Detection of Shewanella Genus.	establishmentandapplicationofmatrixassistedlaserdesorptionionizationtimeofflightmassspectrometryfordetectionofshewanellagenus	True	0
