Achtman M	Distinct genealogies for plasmids and chromosome.	['Achtman M', 'Zhou Z']	2014/12/19 06:00	0	25521852	True	165
Achtman M	Transient Darwinian selection in Salmonella enterica serovar Paratyphi A during 450 years of global spread of enteric fever.	['Zhou Z', 'McCann A', 'Weill FX', 'Blin C', 'Nair S', 'Wain J', 'Dougan G', 'Achtman M']	2014/08/06 06:00	2	25092320	False	43
Achtman M	Genetic variations of live attenuated plague vaccine strains (Yersinia pestis EV76 lineage) during laboratory passages in different countries.	['Cui Y', 'Yang X', 'Xiao X', 'Anisimov AP', 'Li D', 'Yan Y', 'Zhou D', 'Rajerison M', 'Carniel E', 'Achtman M', 'Yang R', 'Song Y']	2014/06/07 06:00	0	24905600	False	11
Achtman M	Parallel independent evolution of pathogenicity within the genus Yersinia.	['Reuter S', 'Connor TR', 'Barquist L', 'Walker D', 'Feltwell T', 'Harris SR', 'Fookes M', 'Hall ME', 'Petty NK', 'Fuchs TM', 'Corander J', 'Dufour M', 'Ringwood T', 'Savin C', 'Bouchier C', 'Martin L', 'Miettinen M', 'Shubin M', 'Riehm JM', 'Laukkanen-Ninios R', 'Sihvonen LM', 'Siitonen A', 'Skurnik M', u'Falc\xe3o JP', 'Fukushima H', 'Scholz HC', 'Prentice MB', 'Wren BW', 'Parkhill J', 'Carniel E', 'Achtman M', 'McNally A', 'Thomson NR']	2014/04/23 06:00	2	24753568	False	8
Achtman M	The ubiquitous nature of Listeria monocytogenes clones: a large-scale Multilocus Sequence Typing study.	['Haase JK', 'Didelot X', 'Lecuit M', 'Korkeala H', u'L.\u2009monocytogenes MLST Study Group', 'Achtman M']	2013/11/28 06:00	0	24274459	False	11
Achtman M	Recent acquisition of Helicobacter pylori by Baka pygmies.	['Nell S', 'Eibach D', 'Montano V', 'Maady A', 'Nkwescheu A', 'Siri J', 'Elamin WF', 'Falush D', 'Linz B', 'Achtman M', 'Moodley Y', 'Suerbaum S']	2013/09/27 06:00	3	24068950	False	22
Achtman M	Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona.	['Zhou Z', 'McCann A', 'Litrup E', 'Murphy R', 'Cormican M', 'Fanning S', 'Brown D', 'Guttman DS', 'Brisse S', 'Achtman M']	2013/05/03 06:00	15	23637636	False	23
Achtman M	Population structures in the SARA and SARB reference collections of Salmonella enterica according to MLST, MLEE and microarray hybridization.	['Achtman M', 'Hale J', 'Murphy RA', 'Boyd EF', 'Porwollik S']	2013/03/20 06:00	2	23507027	False	17
Achtman M	A genomic portrait of the emergence, evolution, and global spread of a methicillin-resistant Staphylococcus aureus pandemic.	['Holden MT', 'Hsu LY', 'Kurt K', 'Weinert LA', 'Mather AE', 'Harris SR', 'Strommenger B', 'Layer F', 'Witte W', 'de Lencastre H', 'Skov R', 'Westh H', u'Zemlickov\xe1 H', 'Coombs G', 'Kearns AM', 'Hill RL', 'Edgeworth J', 'Gould I', 'Gant V', 'Cooke J', 'Edwards GF', 'McAdam PR', 'Templeton KE', 'McCann A', 'Zhou Z', u'Castillo-Ram\xedrez S', 'Feil EJ', 'Hudson LO', 'Enright MC', 'Balloux F', 'Aanensen DM', 'Spratt BG', 'Fitzgerald JR', 'Parkhill J', 'Achtman M', 'Bentley SD', u'N\xfcbel U']	2013/01/10 06:00	30	23299977	False	47
Achtman M	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	['Cui Y', 'Yu C', 'Yan Y', 'Li D', 'Li Y', 'Jombart T', 'Weinert LA', 'Wang Z', 'Guo Z', 'Xu L', 'Zhang Y', 'Zheng H', 'Qin N', 'Xiao X', 'Wu M', 'Wang X', 'Zhou D', 'Qi Z', 'Du Z', 'Wu H', 'Yang X', 'Cao H', 'Wang H', 'Wang J', 'Yao S', 'Rakin A', 'Li Y', 'Falush D', 'Balloux F', 'Achtman M', 'Song Y', 'Wang J', 'Yang R']	2012/12/29 06:00	13	23271803	False	22
Achtman M	Transforming microbial genotyping: a robotic pipeline for genotyping bacterial strains.	["O'Farrell B", 'Haase JK', 'Velayudhan V', 'Murphy RA', 'Achtman M']	2012/11/13 06:00	1	23144721	False	14
Achtman M	Population genetic structure of 4,12:a:- Salmonella enterica strains from harbor porpoises.	['Haase JK', 'Brown DJ', 'Weill FX', 'Mather H', 'Foster G', 'Brisse S', 'Wain J', 'Achtman M']	2012/10/09 06:00	0	23042176	False	14
